state,component,score
ACT,Access,82
ACT,Affordability,76
ACT,Ability,80
VIC,Access,77
VIC,Affordability,70
VIC,Ability,75
NSW,Access,76
NSW,Affordability,71
NSW,Ability,75
QLD,Access,74
QLD,Affordability,69
QLD,Ability,73
WA,Access,75
WA,Affordability,70
WA,Ability,74
SA,Access,72
SA,Affordability,68
SA,Ability,71
TAS,Access,70
TAS,Affordability,66
TAS,Ability,69
NT,Access,71
NT,Affordability,67
NT,Ability,72
